unit,cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,is_anomaly,injected_anomaly_type,isolation_forest_score,local_outlier_factor_score,zscore_score,mad_score
1,1,-0.005518001691057024,0.0004955882356000672,100.0,501.97879744317765,547.1605153119632,454.4082368216379,528.7074951110502,411.75255766135155,496.0503104678947,474.76129360603255,522.1541694879935,584.1397121529094,466.79217553563586,512.4797406113121,478.28874872568804,563.5049522219634,517.6164798272495,482.70657844312717,532.8336095539137,451.68816840000255,512.0079448099466,491.24060080053323,532.3105842447525,409.74472619492275,0,normal,0.018098103767974605,4.373792992393938,1.1448114024072842,1.2294214837957385
1,2,-0.0020058207231641646,-0.0003480547315742863,100.0,502.6128980013495,547.5211056450946,455.70002416956675,528.5277997894265,411.98630316035184,496.91249873199706,474.21578823169256,523.273641232507,583.8081992848959,465.4662161161621,512.8974944842414,478.2928458459611,562.8355175422754,516.6014188307707,482.7184078620118,535.3804238284616,448.0421541791119,512.0104394206978,490.5534786854779,531.8397802938224,409.67407655429645,0,normal,0.013604138401809185,5.381229134390659,1.1049154761835966,1.1885737623292527
1,3,0.00842823824307574,-8.046450673725388e-06,100.0,499.7323954587186,549.2221040769332,457.474331509464,528.2595924321554,411.83437245836615,496.8926528249703,476.90453358670806,523.3400738150416,583.5620661872745,466.5695563645516,512.4547924367247,477.8004687893022,562.8826443315725,517.3155410354948,482.7209369407386,533.9725508615409,450.42881907302836,511.9021445549723,491.14221739091823,532.1166833117016,410.29804538146874,0,normal,0.015104769212266334,4.4525181933801825,1.1195756761228657,1.204945138114347
1,4,3.0886859844724456e-05,7.791525335260581e-05,100.0,502.7930390043531,548.5306759963343,455.8050718699851,529.2916837132025,412.30319117065926,496.5837006513154,473.77738264194136,524.2766468141106,584.5500414933788,463.6398646719083,513.2284675073671,478.6586774374905,562.5655280622609,516.0411039558588,482.73210860120514,535.6520231612305,452.56610578404997,511.9973819021684,489.986278846188,532.5936650621585,410.8567871045911,0,normal,0.00998941381209384,5.613682709270409,1.074263788460147,1.1607561503537895
1,5,-0.004788448580021952,0.0007608276902630842,100.0,501.5973875570752,547.8326565536208,458.1867322353112,527.9166212793123,412.0087600001781,496.1573513910609,473.9885308240814,521.642954174878,585.4092872772239,464.2490506808531,513.133448820665,477.4171018809539,562.2487960307296,517.215600723762,482.6777155612541,536.7040893925265,450.96953205509783,512.0191337586257,490.9987716078626,530.8383384508928,411.61605712458373,0,normal,0.02359081205918523,4.109289229640005,1.2046179636890972,1.2843788507972207
1,6,-0.004074106915898513,0.00014213157689058067,100.0,502.56421989336667,548.7495176607064,456.8143536109964,530.103996713832,412.21026697851295,496.2522044010043,473.75374656359725,522.2195808104916,583.7400778303746,463.539764768192,513.8717077446825,478.487137239347,561.7712405777293,516.463940022254,482.7333695227944,534.9829398172009,449.17176541596797,511.9446824227353,490.49476474759666,531.9016218058699,409.23467194649874,0,normal,0.012371648355773646,5.31098463555739,1.0937100861429898,1.1774662584529016
1,7,0.004258368466409585,5.874046721350619e-05,100.0,503.63575775832084,549.0633334866872,455.8010550284758,527.3899864266197,412.22357361062615,496.0399755623871,474.65440232160654,521.8235967808889,584.1388463167926,465.89404802764983,511.7881740263243,477.674683997359,562.2142001855639,516.6748605769599,482.69079139251147,534.1206545418247,451.01030694103304,511.9340279599977,490.8912188637889,531.1579527577046,409.7987439367161,0,normal,0.01078313276337206,5.402173898968433,1.083484330564567,1.1713803881468565
1,8,-8.811830908992036e-05,-0.0002666696601089914,100.0,502.46370829377076,548.0340452255754,458.12830779956664,528.9589743073177,412.10466693098476,496.2062622512513,473.79197896919806,521.8180496543225,585.0257166743886,465.8061155142437,512.2311076685477,477.54126600366834,561.6999326808742,515.806557028586,482.64794547804206,535.3400704936859,451.4694836295277,512.0346168153824,490.8767587104472,532.7061803658554,410.92452529890477,0,normal,0.00969309791989914,5.58487739520001,1.0826333680472089,1.1679500628797381
1,9,0.015268840237474329,-4.043088598115593e-05,100.0,504.290032762903,550.1032260362792,455.96774454498313,528.7968711291101,412.049373267533,495.78346215335023,473.30023446757895,521.0574049751174,584.5163875128487,466.14598221185395,511.8814030804063,477.49988420312883,561.9957963498493,516.2220730608966,482.7096459151669,533.9283242965735,449.54593035421846,511.9678628461593,491.7637628345125,532.2311868586992,410.92332769935774,0,normal,0.027101756382783893,4.246008833980863,1.2352409925369805,1.3208829764043153
1,10,-0.005564602296897251,0.00025495383456595176,100.0,503.76093823525844,548.3241471750961,456.86499105247293,528.2706800183591,411.6460952147826,496.1396269178562,475.79721571297586,521.1978923274993,584.3530427199636,463.61611708548327,511.7024654418708,478.1939105354939,561.0611067107438,516.0998273552539,482.61116108128283,535.5628654925381,451.4393008286777,512.015757414263,491.82330972417486,531.5216864724972,413.1545392500671,0,normal,0.015903103315631384,4.900946161518983,1.1002059012415948,1.184095498742718
